Title,Price,screen,screen_size,resolution_width,resolution_height,resolution_pixels,refresh_rate,ram,ram_gb,storage,storage_gb,processor,cpu_clean,cpu_brand,cpu_family,cpu_generation,graphics,gpu_clean,gpu_brand,gpu_model,nvidia_gpu,is_gaming,has_dedicated_gpu,has_nvidia_gpu,has_amd_gpu,has_intel_gpu,os
"Laptop Dell 14 DC14250 14"" Core 7 150U 16GB RAM 1TB Dysk SSD Win11 Srebrny Funkcje AI",3999.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  DDR5 5200 Mhz RAM,16,1 TB SSD,1024,Intel® Core™ 7 150U,Intel Core 7 150U,Intel,Core 7,,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy MSI Cyborg 15 C2WEO-451PL 15,6"" 144Hz Core 7 240H 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Szary Funkcje AI",6399.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR4 3200 MHz RAM,16,512 GB SSD,512,Intel® Core™ 7 Series 2 240H,Intel Core 7 Series 2 240H,Intel,Core 7,,NVIDIA® GeForce RTX™ 5050 + Intel Graphics,NVIDIA GeForce RTX 5050 + Intel Graphics,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,False,True,Windows 11 Home Edition
"Apple MacBook Air 2026 15,3"" M5 10/10 16GB RAM 1TB Dysk macOS Północ Funkcje AI",8399.0,"15,3"",  2880 x 1864 pikseli",15.3,2880,1864,5368320,,16 GB  zunifikowana RAM,16,1 TB SSD,1024,Apple M5,Apple M5,Apple,M5,,Apple  M5 (10-rdzeni),Apple M5 (10-rdzeni),Apple,M5,,False,False,False,False,False,macOS
"Laptop biznesowy MSI Prestige 16 AI+ Evo B2VMG-012PL OLED 16"" Ultra 9 288V 32GB RAM 1TB Dysk SSD Win11 Pro Szary Funkcje AI",8399.0,"16 "",  3840 x 2400 pikseli 60 Hz",16.0,3840,2400,9216000,60,32 GB  LPDDR5x 8533 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 9 15gen 288V,Intel Core Ultra 9 15gen 288V,Intel,Core Ultra 9,15,Intel®  Arc Graphics 140V,Intel Arc Graphics 140V,Intel,Arc Graphics 140V,,False,False,False,False,True,Windows 11 Professional
"Apple MacBook Air 2026 15,3"" M5 10/10 24GB RAM 1TB Dysk macOS Srebrny Funkcje AI",9399.0,"15,3"",  2880 x 1864 pikseli",15.3,2880,1864,5368320,,24 GB  zunifikowana RAM,24,1 TB SSD,1024,Apple M5,Apple M5,Apple,M5,,Apple  M5 (10-rdzeni),Apple M5 (10-rdzeni),Apple,M5,,False,False,False,False,False,macOS
"Laptop gamingowy MSI Stealth 18 HX AI A2XWHG-038PL 18"" 240Hz Ultra 9 275HX 32GB RAM 2TB Dysk SSD RTX5070Ti DLSS4 Win11 Pro Czarny Funkcje",14599.0,"18 "",  2560 x 1600 pikseli 240 Hz",18.0,2560,1600,4096000,240,32 GB  DDR5 6400 Mhz RAM,32,2 TB SSD,2048,Intel® Core™ Ultra 9 15gen 275HX,Intel Core Ultra 9 15gen 275HX,Intel,Core Ultra 9,15,NVIDIA® GeForce RTX™ 5070 Ti + Intel Graphics,NVIDIA GeForce RTX 5070 Ti + Intel Graphics,NVIDIA,GeForce RTX 5070 Ti,GeForce RTX 5070 Ti,True,True,True,False,True,Windows 11 Professional
"Laptop 2w1 Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition OLED 14"" Ultra 7 255U 32GB RAM 1TB Dysk SSD Win11 Pro Czarny Funkcje AI",16399.0,"14 "", ekran dotykowy 2880 x 1800 pikseli 120 Hz",14.0,2880,1800,5184000,120,32 GB  LPDDR5x 8400 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 7 15gen 255U,Intel Core Ultra 7 15gen 255U,Intel,Core Ultra 7,15,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Professional
"Laptop Acer Swift Go 16 AI SFG16-74 OLED 16"" Core Ultra 7 256V 16GB RAM 1TB Dysk SSD Win11 Czarny Funkcje AI",4889.99,"16 "",  2048 x 1280 pikseli 60 Hz",16.0,2048,1280,2621440,60,16 GB  LPDDR5X RAM,16,1 TB SSD,1024,Intel® Core™ Ultra 7 15gen 256V,Intel Core Ultra 7 15gen 256V,Intel,Core Ultra 7,15,Intel®  Arc™ 140V Graphics,Intel Arc 140V Graphics,Intel,Arc 140V,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro V 16S AI ANV16S-41 16"" 180Hz R7 260 32GB RAM 1TB Dysk SSD RTX5050 DLSS4 Czarny Funkcje AI",6454.99,"16 "",  1920 x 1200 pikseli 180 Hz",16.0,1920,1200,2304000,180,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ 7 260,AMD Ryzen 7 260,AMD,Ryzen 7,,NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 780M,NVIDIA GeForce RTX 5050 + AMD Radeon 780M,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,True,False,bez systemu
"Laptop gamingowy MSI Cyborg 15 B13WGKG-630XPL 15,6""144Hz i7-13620H 16GB RAM 1TB Dysk SSD RTX5070 DLSS4 Czarny Funkcje AI",4999.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 5200 Mhz RAM,16,1 TB SSD,1024,Intel® Core™ i7 13gen 13620H,Intel Core i7 13gen 13620H,Intel,Core i7,13,NVIDIA® GeForce RTX™ 5070 + Intel UHD Graphics,NVIDIA GeForce RTX 5070 + Intel UHD Graphics,NVIDIA,GeForce RTX 5070,GeForce RTX 5070,True,True,True,False,True,bez systemu
"Laptop Acer Swift Go 14 AI SFG14-75 OLED 14"" Core Ultra 9 288V 32GB RAM 1TB Dysk SSD Win11 Niebieski Funkcje AI",5599.99,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,32 GB  LPDDR5X RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 9 15gen 288V,Intel Core Ultra 9 15gen 288V,Intel,Core Ultra 9,15,Intel®  Arc™ 140V Graphics,Intel Arc 140V Graphics,Intel,Arc 140V,,False,False,False,False,True,Windows 11 Home Edition
"Laptop HP OmniBook 7 16-bh0004nwx OLED 16"" Ultra 7 356H 24GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",6333.0,"16 "", ekran dotykowy 2048 x 1280 pikseli 120 Hz",16.0,2048,1280,2621440,120,24 GB  LPDDR5x 7467 Mhz RAM,24,512 GB SSD,512,Intel® Core™ Ultra 7 Series 3 356H,Intel Core Ultra 7 Series 3 356H,Intel,Core Ultra 7,,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro V 16S AI ANV16S-41 16"" 180Hz R7 260 32GB RAM 1TB Dysk SSD RTX5050 DLSS4 Win11 Pro Czarny Funkcje AI",7399.0,"16 "",  1920 x 1200 pikseli 180 Hz",16.0,1920,1200,2304000,180,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ 7 260,AMD Ryzen 7 260,AMD,Ryzen 7,,NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 780M,NVIDIA GeForce RTX 5050 + AMD Radeon 780M,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,True,False,Windows 11 Professional
"Laptop 2w1 HP OmniBook X Flip AI 16-cc0000nwx OLED 16"" Ryzen AI 9 465 32GB RAM 1TB Dysk SSD Win11 Srebrny Funkcje AI",8699.0,"16 "", ekran dotykowy 2880 x 1800 pikseli 120 Hz",16.0,2880,1800,5184000,120,32 GB  LPDDR5x 8533 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ AI 9 465,AMD Ryzen AI 9 465,AMD,Ryzen AI 9,,AMD  Radeon™ 880M,AMD Radeon 880M,AMD,Radeon 880M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop ASUS Vivobook S14 S3407AA-SF055W OLED 14"" Ultra 5 325 16GB RAM 512GB Dysk SSD Win11 Szary Funkcje AI",3899.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  DDR5 RAM,16,512 GB SSD,512,Intel® Core™ Ultra 5 Series 3 325,Intel Core Ultra 5 Series 3 325,Intel,Core Ultra 5,,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop 2w1 HP OmniBook X Flip AI 16-cc0002nwx OLED 16"" Ryzen AI 7 445 32GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",6666.0,"16 "", ekran dotykowy 2880 x 1800 pikseli 120 Hz",16.0,2880,1800,5184000,120,32 GB  LPDDR5x 8533 Mhz RAM,32,512 GB SSD,512,AMD Ryzen™ AI 7 445,AMD Ryzen AI 7 445,AMD,Ryzen AI 7,,AMD  Radeon™ 840M,AMD Radeon 840M,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro 18 AI AN18-61 18"" 165Hz Ryzen AI 9 365 32GB RAM 1TB Dysk SSD RTX5060 DLSS4 Czarny Funkcje AI",7999.0,"18 "",  2560 x 1600 pikseli 165 Hz",18.0,2560,1600,4096000,165,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ AI 9 365,AMD Ryzen AI 9 365,AMD,Ryzen AI 9,,NVIDIA® GeForce RTX™ 5060 + AMD Radeon™ 880M,NVIDIA GeForce RTX 5060 + AMD Radeon 880M,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,True,False,bez systemu
"Laptop gamingowy Acer Nitro 18 AI AN18-61 18"" 165Hz Ryzen AI 9 365 32GB RAM 1TB Dysk SSD RTX5060 DLSS4 Win11 Czarny Funkcje AI",9999.0,"18 "",  2560 x 1600 pikseli 165 Hz",18.0,2560,1600,4096000,165,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ AI 9 365,AMD Ryzen AI 9 365,AMD,Ryzen AI 9,,NVIDIA® GeForce RTX™ 5060 + AMD Radeon™ 880M,NVIDIA GeForce RTX 5060 + AMD Radeon 880M,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,True,False,Windows 11 Home Edition
"Laptop gamingowy ASUS ROG Strix G18 G815LR-U9R321W 18"" 300Hz Ultra 9 290HX Plus 32GB RAM 1TB Dysk SSD RTX5070Ti DLSS4 Win11 Szary AI",16199.0,"18 "",  2560 x 1600 pikseli 300 Hz",18.0,2560,1600,4096000,300,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 9 15gen 290HX Plus,Intel Core Ultra 9 15gen 290HX Plus,Intel,Core Ultra 9,15,NVIDIA® Geforce RTX™ 5070 Ti + Intel Graphics,NVIDIA Geforce RTX 5070 Ti + Intel Graphics,NVIDIA,GeForce RTX 5070 Ti,GeForce RTX 5070 Ti,True,True,True,False,True,Windows 11 Home Edition
"Laptop biznesowy Lenovo ThinkBook 16 G7 ARP 16"" R5 7535HS 16GB RAM 512GB Dysk SSD Win11 Pro Szary",4799.0,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 5 7535HS,AMD Ryzen 5 7535HS,AMD,Ryzen 5,,AMD  Radeon™ 660M,AMD Radeon 660M,AMD,Radeon 660M,,False,False,False,True,False,Windows 11 Professional
"Laptop Acer Swift Go 14 AI SFG14-75 OLED 14"" Core Ultra 7 258V 32GB RAM 1TB Dysk SSD Win11 Niebieski Funkcje AI",5199.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,32 GB  LPDDR5X RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 7 15gen 258V,Intel Core Ultra 7 15gen 258V,Intel,Core Ultra 7,15,Intel®  Arc™ 140V Graphics,Intel Arc 140V Graphics,Intel,Arc 140V,,False,False,False,False,True,Windows 11 Home Edition
"Laptop biznesowy ASUS ExpertBook Ultra B9406CAA-TH0744X OLED 14"" 120Hz Ultra X7 358H 64GB RAM 2TB Dysk SSD Win11 Pro Szary Funkcje AI",18599.0,"14 "", ekran dotykowy 2880 x 1800 pikseli 120 Hz",14.0,2880,1800,5184000,120,64 GB  LPDDR5X RAM,64,2 TB SSD,2048,Intel® Core™ Ultra X7 Series 3 358H,Intel Core Ultra X7 Series 3 358H,Intel,Core Ultra X7,,Intel®  Arc™ B390 Graphics,Intel Arc B390 Graphics,Intel,Arc,,False,False,False,False,True,Windows 11 Professional
"Apple MacBook Pro 2026 16,2"" M5 Max 18/40 48GB RAM 2TB Dysk macOS Srebrny",23999.0,"16,2 "",  3456 x 2234 pikseli 120 Hz",16.2,3456,2234,7720704,120,48 GB  zunifikowana RAM,48,2 TB SSD,2048,Apple M5 Max,Apple M5 Max,Apple,M5 Max,,Apple  M5 Max (40-rdzeni),Apple M5 Max (40-rdzeni),Apple,M5 Max,,False,False,False,False,False,macOS
"Laptop Dell 16 DC16250 16"" Core 5 120U 16GB RAM 512GB Dysk SSD Win11 Czarny Funkcje AI",3499.0,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,16 GB  DDR5 5200 Mhz RAM,16,512 GB SSD,512,Intel® Core™ 5 14gen 120U,Intel Core 5 14gen 120U,Intel,Core 5,14,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop Acer Swift Go 14 AI SFG14-64-R1FH OLED 14"" Ryzen AI 7 350 32GB RAM 1TB Dysk SSD Win11 Srebrny Funkcje AI",4999.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,32 GB  LPDDR5x 8000 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ AI 7 350,AMD Ryzen AI 7 350,AMD,Ryzen AI 7,,AMD  Radeon™ 860M,AMD Radeon 860M,AMD,Radeon 860M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop ASUS Vivobook 14 M1407GA-LY010W 14"" Ryzen AI 7 445 16GB RAM 512GB Dysk SSD Win11 Niebieski Funkcje AI",3799.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  DDR5 RAM,16,512 GB SSD,512,AMD Ryzen™ AI 7 445,AMD Ryzen AI 7 445,AMD,Ryzen AI 7,,AMD  Radeon™ 840M,AMD Radeon 840M,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop Lenovo IdeaPad Flex 5 14ABR8 14"" R5 7430U 16GB RAM 512GB Dysk SSD Win11 Szary Funkcje AI",2971.58,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  LPDDR4x 4266 MHz RAM,16,512 GB SSD,512,AMD Ryzen™ 5 7430U,AMD Ryzen 5 7430U,AMD,Ryzen 5,,AMD  Radeon™ Graphics,AMD Radeon Graphics,AMD,Radeon,,False,False,False,True,False,Windows 11 Home Edition
"Laptop ASUS Vivobook 15 X1504MA-BQ048W 15,6"" Core 5 320 16GB RAM 512GB Dysk SSD Win11 Niebieski Funkcje AI",3799.0,"15,6 "",  1920 x 1080 pikseli 60 Hz",15.6,1920,1080,2073600,60,16 GB  DDR5 RAM,16,512 GB SSD,512,Intel® Core™ 5 Series 3 320,Intel Core 5 Series 3 320,Intel,Core 5,,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro 16S AI AN16S-61 16"" 180Hz Ryzen AI 9 365 32GB RAM 1TB Dysk SSD RTX5070Ti DLSS4 Win11 Pro Czarny Funkcje AI",11499.0,"16 "",  2560 x 1600 pikseli 180 Hz",16.0,2560,1600,4096000,180,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ AI 9 365,AMD Ryzen AI 9 365,AMD,Ryzen AI 9,,NVIDIA® GeForce RTX™ 5070 Ti + AMD Radeon™ 880M,NVIDIA GeForce RTX 5070 Ti + AMD Radeon 880M,NVIDIA,GeForce RTX 5070 Ti,GeForce RTX 5070 Ti,True,True,True,True,False,Windows 11 Professional
"Laptop biznesowy Acer TravelMate P2 15 TMP215-75-G2-TCO 15,6"" Ultra 5 125H 16GB RAM 512GB Dysk SSD Win11 Pro Srebrny",3199.0,"15,6 "",  1920 x 1080 pikseli 60 Hz",15.6,1920,1080,2073600,60,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ Ultra 5 14gen 125H,Intel Core Ultra 5 14gen 125H,Intel,Core Ultra 5,14,Intel®  Arc™ Graphics (działający jako Intel® Graphics),Intel Arc Graphics (działający jako Intel Graphics),Intel,Arc,,False,False,False,False,True,Windows 11 Professional
"Laptop HP OmniBook 5 16-bp0002nwx OLED 16"" Ryzen AI 5 430 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",3888.0,"16 "",  1920 x 1200 pikseli",16.0,1920,1200,2304000,,16 GB  LPDDR5x 7500 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ AI 5 430,AMD Ryzen AI 5 430,AMD,Ryzen AI 5,,AMD  Radeon™ 840M,AMD Radeon 840M,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop HP OmniBook 7 16-ay0217nw OLED 16"" 120Hz Ultra 7 255H 32GB RAM 1TB Dysk SSD Win11 Srebrny Funkcje AI",6499.0,"16 "", ekran dotykowy 2048 x 1280 pikseli 120 Hz",16.0,2048,1280,2621440,120,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 7 15gen 255H,Intel Core Ultra 7 15gen 255H,Intel,Core Ultra 7,15,Intel®  Arc 140T,Intel Arc 140T,Intel,Arc 140T,,False,False,False,False,True,Windows 11 Home Edition
"Apple MacBook Air 2026 13,6"" M5 10/10 16GB RAM 1TB Dysk macOS Srebrny Funkcje AI",7499.0,"13,6 "",  2560 x 1664 pikseli",13.6,2560,1664,4259840,,16 GB  zunifikowana RAM,16,1 TB SSD,1024,Apple M5,Apple M5,Apple,M5,,Apple  M5 (10-rdzeni),Apple M5 (10-rdzeni),Apple,M5,,False,False,False,False,False,macOS
"Laptop 2w1 HP OmniBook X Flip 14-kc0000nw OLED 14"" Ryzen AI 9 465 32GB RAM 1TB Dysk SSD Win11 Brązowy Funkcje AI",8499.0,"14 "", ekran dotykowy 2880 x 1800 pikseli 120 Hz",14.0,2880,1800,5184000,120,32 GB  LPDDR5x 8533 Mhz RAM,32,1 TB SSD,1024,AMD Ryzen™ AI 9 465,AMD Ryzen AI 9 465,AMD,Ryzen AI 9,,AMD  Radeon™ 880M,AMD Radeon 880M,AMD,Radeon 880M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop MSI Modern 15 H C13M-201PL 15,6"" i7-13620H 16GB RAM 512GB Dysk SSD Win11 Czarny",3599.0,"15,6 "",  1920 x 1080 pikseli 60 Hz",15.6,1920,1080,2073600,60,16 GB  DDR4 3200 MHz RAM,16,512 GB SSD,512,Intel® Core™ i7 13gen 13620H,Intel Core i7 13gen 13620H,Intel,Core i7,13,Intel®  UHD Graphics,Intel UHD Graphics,Intel,UHD,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy MSI Katana 15 HX B14WEK-060XPL 15,6"" 165Hz i7-14650HX 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Czarny",4449.0,"15,6 "",  2560 x 1440 pikseli 165 Hz",15.6,2560,1440,3686400,165,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i7 14gen 14650HX,Intel Core i7 14gen 14650HX,Intel,Core i7,14,NVIDIA® GeForce RTX™ 5050 + Intel UHD Graphics,NVIDIA GeForce RTX 5050 + Intel UHD Graphics,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,False,True,bez systemu
"Laptop biznesowy Lenovo ThinkPad L16 Gen 2 16"" Ultra 5 225U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny Funkcje AI",6199.0,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ Ultra 5 15gen 225U,Intel Core Ultra 5 15gen 225U,Intel,Core Ultra 5,15,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Professional
"Laptop biznesowy ASUS ExpertBook PM3 PM3406CKA-NZ0142X 14"" 144Hz Ryzen AI 7 350 16GB RAM 512GB Dysk SSD Win11 Pro Szary Funkcje AI",6299.0,"14 "",  2560 x 1600 pikseli 144 Hz",14.0,2560,1600,4096000,144,16 GB  DDR5 RAM,16,512 GB SSD,512,AMD Ryzen™ AI 7 350,AMD Ryzen AI 7 350,AMD,Ryzen AI 7,,AMD  Radeon™ 860M,AMD Radeon 860M,AMD,Radeon 860M,,False,False,False,True,False,Windows 11 Professional
"Laptop gamingowy MSI Crosshair 16 HX E14WFK-072PL 16"" 240Hz i7-14650HX 16GB RAM 1TB Dysk SSD RTX5060 DLSS4 Win11 Czarny",8599.0,"16 "",  2560 x 1600 pikseli 240 Hz",16.0,2560,1600,4096000,240,16 GB  DDR5 5600 Mhz RAM,16,1 TB SSD,1024,Intel® Core™ i7 14gen 14650HX,Intel Core i7 14gen 14650HX,Intel,Core i7,14,NVIDIA® GeForce RTX™ 5060 + Intel UHD Graphics,NVIDIA GeForce RTX 5060 + Intel UHD Graphics,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,False,True,Windows 11 Home Edition
"Laptop biznesowy ASUS ExpertBook Ultra B9406CAA-TH0747X OLED 14"" 120Hz Ultra 7 356H 32GB RAM 1TB Dysk SSD Win11 Pro Szary Funkcje AI",12599.0,"14 "", ekran dotykowy 2880 x 1800 pikseli 60 Hz",14.0,2880,1800,5184000,60,32 GB  LPDDR5X RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 7 Series 3 356H,Intel Core Ultra 7 Series 3 356H,Intel,Core Ultra 7,,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition 14"" Ultra 7 255U 32GB RAM 1TB Dysk SSD Win11 Pro Czarny Funkcje AI",15149.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,32 GB  LPDDR5x 8400 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 7 15gen 255U,Intel Core Ultra 7 15gen 255U,Intel,Core Ultra 7,15,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkBook 16 G8 IAL 16"" Ultra 5 225U 16GB RAM 512GB Dysk SSD Win11 Pro Szary Funkcje AI",4836.43,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ Ultra 5 15gen 225U,Intel Core Ultra 5 15gen 225U,Intel,Core Ultra 5,15,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkBook 14 G8 IAL 14"" Ultra 7 255H 16GB RAM 512GB Dysk SSD Win11 Pro Szary Funkcje AI",4849.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ Ultra 7 15gen 255H,Intel Core Ultra 7 15gen 255H,Intel,Core Ultra 7,15,Intel®  Arc Graphics (działający jako Intel® Graphics),Intel Arc Graphics (działający jako Intel Graphics),Intel,Arc,,False,False,False,False,True,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkBook 16 G7 ARP 16"" R7 7735HS 16GB RAM 1TB Dysk SSD Win11 Pro Szary",5243.26,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,16 GB  DDR5 4800 Mhz RAM,16,1 TB SSD,1024,AMD Ryzen™ 7 7735HS,AMD Ryzen 7 7735HS,AMD,Ryzen 7,,AMD  Radeon™ 680M,AMD Radeon 680M,AMD,Radeon 680M,,False,False,False,True,False,Windows 11 Professional
"Laptop gamingowy MSI Stealth A16 MercedesAMG AI+A3XWGG OLED 16"" 240Hz Ryzen AI 9 HX370 32GB RAM 2TB Dysk SSD RTX5070 DLSS4 Win11 Szary",9999.0,"16 "",  2560 x 1600 pikseli 240 Hz",16.0,2560,1600,4096000,240,32 GB  DDR5 RAM,32,2 TB SSD,2048,AMD Ryzen™ AI 9 HX 370,AMD Ryzen AI 9 HX 370,AMD,Ryzen AI 9,,NVIDIA® GeForce RTX™ 5070 + AMD Radeon™ 890M,NVIDIA GeForce RTX 5070 + AMD Radeon 890M,NVIDIA,GeForce RTX 5070,GeForce RTX 5070,True,True,True,True,False,Windows 11 Home Edition
Laptop gamingowy HP OMEN 14-fb1008nw OLED 14'' 120Hz Ultra 9 285H 64GB RAM 1TB Dysk SSD RTX5070 DLSS4 Win11 Czarny Funkcje AI,11599.0,"14 "",  2880 x 1800 pikseli 120 Hz",14.0,2880,1800,5184000,120,64 GB  LPDDR5x 8533 Mhz RAM,64,1 TB SSD,1024,Intel® Core™ Ultra 9 15gen 285H,Intel Core Ultra 9 15gen 285H,Intel,Core Ultra 9,15,NVIDIA® GeForce RTX™ 5070 + Intel Arc 140T Graphics,NVIDIA GeForce RTX 5070 + Intel Arc 140T Graphics,NVIDIA,GeForce RTX 5070,GeForce RTX 5070,True,True,True,False,True,Windows 11 Home Edition
"Laptop 2w1 HP OmniBook 5 Flip 14-fp0216nw OLED 14"" Core 7 150U 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",4499.0,"14 "", ekran dotykowy 1920 x 1200 pikseli",14.0,1920,1200,2304000,,16 GB  LPDDR5 5200 Mhz RAM,16,512 GB SSD,512,Intel® Core™ 7 14gen 150U,Intel Core 7 14gen 150U,Intel,Core 7,14,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy ASUS ROG Zephyrus G16 GU606AW-U9321W OLED 16"" 240Hz Ultra 9 386H 32GB RAM 1TB Dysk SSD RTX5080 Win11 Szary Funkcje AI",19799.0,"16 "",  2560 x 1600 pikseli 240 Hz",16.0,2560,1600,4096000,240,32 GB  LPDDR5x 8533 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 9 Series 3 386H,Intel Core Ultra 9 Series 3 386H,Intel,Core Ultra 9,,NVIDIA® GeForce RTX™ 5080 + Intel Graphics,NVIDIA GeForce RTX 5080 + Intel Graphics,NVIDIA,GeForce RTX 5080,GeForce RTX 5080,True,True,True,False,True,Windows 11 Home Edition
